product_id,code,description,category,brand,manufacturer,status
26420694,4607070028765,ATAMAN F/MEN 4(SRG DC250+SHP G90) ,BPZ - BANDED PACKS,ATAMAN (LUCHSHIE TRADITSII/MOSKVA),LUCHSHIE TRADITSII/MOSKVA,Active
151195520,4606453083704,ESTEL PROF.COUTURE LUXURY COOL BLOND(SHM300+2XHCR 200+100) ,BPZ - BANDED PACKS,ESTEL PROFESSIONAL (ESTEL/SANKT-PETERBURG),ESTEL/SANKT-PETERBURG,Active
22328770,4607075001237,SILCA DENT DETSKAYA (TTH YABL.65GR+TBR) ,BPZ - BANDED PACKS,NA,NA,Active
22067202,8801038564975,DORCO PACE 4(RAZ+BLD) ,BPZ - BANDED PACKS,DORCO,DORCO LTD,Active
138194701,4620143626477,LEVRANA KOMPLEKS 5 STUPENEY UKHODA(2XFW+3XFCR) ,BPZ - BANDED PACKS,LEVRANA (LEVRANA/SANKT-PETERBURG),LEVRANA/SANKT-PETERBURG,Active
175613719,4673760580127,GILLETTE FUSION (RAZ+11 BLD) ,BPZ - BANDED PACKS,GILLETTE (PROCTER & GAMBLE),PROCTER & GAMBLE,Active
151339064,4640021893043,LALIBELA COFFEE G 5X200 (DI MALANO+ARAB+RICH AR+ESP+LUNCH) ,BPZ - BANDED PACKS,LALIBELA COFFEE (LALIBELA KOFE/SMOLENSK),LALIBELA KOFE/SMOLENSK,Active
153523305,4640021893173,LALIBELA COFFEE G 5X200 (DI MALANO+ARAB+RICH AR+ESP+LUNCH) ,BPZ - BANDED PACKS,LALIBELA COFFEE (LALIBELA KOFE/SMOLENSK),LALIBELA KOFE/SMOLENSK,Active
215976559,4660077774714,OLLIN PROF.HAIR CARE (SHM250ML+2XHCR 200ML+50ML) ,BPZ - BANDED PACKS,OLLIN PROFESSIONAL (ASTORIYA KOSMETIK),ASTORIYA KOSMETIK,Active
56706559,4665302180629,ECO SUGARING BIKINI(DEP330+BCR+TLP+4XCPC) ,BPZ - BANDED PACKS,ECO SUGARING (EKOSTAYL/CHELYABINSK),EKOSTAYL/CHELYABINSK,Active
84038510,4680002020365,LACTACYD MAMA I YA(2XFMPX200 CLASSIC+GIRL) ,BPZ - BANDED PACKS,LACTACYD (ALVOGEN/USA),ALVOGEN/USA,Active
141064074,4650301881318,CONSTANT DELIGHT INTENSIVE ZATSHITA TSVETA(SHM1L+HCR1L) ,BPZ - BANDED PACKS,CONSTANT DELIGHT (DELAYT TRIUMFO/MOSKVA),DELAYT TRIUMFO/MOSKVA,Active
78805054,4630146040149,SPORTY LIGHT PROTEIN COOK.ASSORTI N2 (12XSWB 40GR) ,BPZ - BANDED PACKS,SPORTY (SPORTI/NIZHNIY NOVGOROD),SPORTI/NIZHNIY NOVGOROD,Active
88293547,4640125880499,TAKE A BITEY WFF(8X35GR) ,BPZ - BANDED PACKS,TAKE A BITEY (BIOFUDLAB/MOSKVA),BIOFUDLAB/MOSKVA,Active
179748728,4620115550519,BIOKRIM VESYOLIY KIT(SHM200ML+BAC75ML) ,BPZ - BANDED PACKS,BIOKRIM (PETROBIO/SPB),PETROBIO/SPB,Active
