product_id,code,description,category,brand,manufacturer,status
44732353,4620759200191,KONSERVLEND  KIL`KA   TOMTN-SS  0.24KG B  ,FSC - FISH CONTAINERED,KONSERVLEND (GRINBERRI/EKATERINBURG),GRINBERRI/EKATERINBURG,Active
21481364,4612732841033,SYR-BOR ROSSYSKY I CHE.BL. P S 0.24KG ,CHK - CHEESE-BLOCK,SYR-BOR (PORKHOV MASTERSKAYA SYRODELIYA/PSKOVSKAYA OBL.),PORKHOV MASTERSKAYA SYRODELIYA/PSKOVSKAYA OBL.,Active
19448516,4607053473780,PROSTOKVASHINO(DANONE)  KEFIR     2.5% 0.93L R BO P  PL ,KFR - LIQUID ACIDIC-MILK,PROSTOKVASHINO (DANONE),DANONE,Active
32596311,4610009511207,CHERKIZOVO PO-CHERKIZOVSKI  SVIN VETCH. BL VAR. 0.5KG ,AER - MEAT PRODUCTS(RTE REFRIGERATED,CHERKIZOVO (CHERKIZOVO GK),CHERKIZOVO GK,Active
20223507,4640068211466,KRASAVCHIK(SUNFR.-TR./PER) MUL`TFRKT N 45% 0.2L BRICK PACK A ,JUI - JUICES,KRASAVCHIK (SUNFRUIT-TRADE/PERM),SUNFRUIT-TRADE/PERM,Active
20261329,4607117890836,GUSINYE LAPKI(OB.KOND.) HF 0.25KG S ,BON - SWEETS NON-CHOCOLATE,GUSINYE LAPKI (OBYEDINYONNYE KONDITERY),OBYEDINYONNYE KONDITERY,Active
24749917,4680384003734,TRIOL(TRIOL GK/SPB) APPETITNYE KOLBASKI LOSS`&UTK KOLBAS S 0.04KG,CTT - CAT TREATS,TRIOL (TRIOL GK/SPB),TRIOL GK/SPB,Active
53500889,4607065735395,SNICKERS KRISPER ARAKHS&KRML`&KHRUST-RISV-SHAR MCH BR 0.06KG,CHO - CHOCOLATES,SNICKERS (MARS),MARS,Active
44362912,4610011340192,SOL`OPTTORG(RUSPAK)/EKATERINB. OBCHN-SKHR GRN P 5KG S ,SUG - SUGAR,SOL`OPTTORG(RUSPAK)/EKATERINBURG,SOL`OPTTORG(RUSPAK)/EKATERINBURG,Active
54313378,4640047180691,TSHINOVA IP/EKATERINBURG OBCHN-SKHR GRN P 5KG S ,SUG - SUGAR,TSHINOVA IP/EKATERINBURG,TSHINOVA IP/EKATERINBURG,Active
18641890,4607111110039,ZHIGULYOVSKOE(POLEVSKAYA) 1.5L P BO L X ,BEE - BEER,ZHIGULYOVSKOE (POLEVSKAYA VARNYA/SVERDLOVSKAYA OBL.),POLEVSKAYA VARNYA/SVERDLOVSKAYA OBL.,Active
18641890,4640013420011,ZHIGULYOVSKOE(POLEVSKAYA) 1.5L P BO L X ,BEE - BEER,ZHIGULYOVSKOE (POLEVSKAYA VARNYA/SVERDLOVSKAYA OBL.),POLEVSKAYA VARNYA/SVERDLOVSKAYA OBL.,Active
18641890,4640013430010,ZHIGULYOVSKOE(POLEVSKAYA) 1.5L P BO L X ,BEE - BEER,ZHIGULYOVSKOE (POLEVSKAYA VARNYA/SVERDLOVSKAYA OBL.),POLEVSKAYA VARNYA/SVERDLOVSKAYA OBL.,Active
68113888,4660085513091,SHEBA CRAFT COLLECTION SOCHNYE SLAYSY KURITS A SOUS H 0.075KGCW,CAT - CAT FOOD,SHEBA (MARS),MARS,Active
54850540,4630056020507,PLANETA ORGANICA ECO ORGANIC COCONUT WOT CON 0.2L HU ,HCR - HAIR CONDITIONERS,PLANETA ORGANICA (NATURA SIBERICA/MOSKVA),NATURA SIBERICA/MOSKVA,Active
25608058,4612739960294,MAKSTORI SPIRALI A H 0.4KG S ,PST - PASTA DRY,MAKSTORI (MAKSTORI/EKATERINBURG),MAKSTORI/EKATERINBURG,Active
41999453,4680046720597,BOMBBAR(FITNES FUD GK) PROTNVY-BATNCHK TIRAMS DIET NCC S 0.06KG 1'S,MSL - MUESLI/CEREAL&NUTRITIONAL BAR,BOMBBAR (FITNES FUD GK/TOL`YATTI),FITNES FUD GK/TOL`YATTI,Active
24906463,4607065373221,DOVE(MARS) PROMISES  DESERTNOE ASSORTI  ASR.  ASSRT. A  0.118KG K ,CHA - CHOCOLATE ASSORTMENTS,DOVE (MARS),MARS,Active
19400019,4607152730333,R.O.C.S. BABY T S K 1PCS ,TBR - TOOTHBRUSHES,R.O.C.S. (UNIDENT GROUP),UNIDENT GROUP,Active
42552876,4630007400761,BELOCHKA(SMART/ZLATOUST)  SEMCHK MORSKY-SOL`  Z  0.25KG S ,NUT - NUTS,BELOCHKA (SMART/ZLATOUST CHELYABINSKAYA OBL.),SMART/ZLATOUST CHELYABINSKAYA OBL.,Active
21917636,4612739960027,MAKSTORI LAPSHA DLYA SUPA I GARNIRA A H 0.3KG S ,PST - PASTA DRY,MAKSTORI (MAKSTORI/EKATERINBURG),MAKSTORI/EKATERINBURG,Active
19509766,4612739960218,MAKSTORI LAPSHA DLYA SUPA I GARNIRA A H 0.25KG S ,PST - PASTA DRY,MAKSTORI (MAKSTORI/EKATERINBURG),MAKSTORI/EKATERINBURG,Active
